STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL_CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL_VOTES,POSTAL_VOTES,TOTAL_VOTES,OVER_TOTAL_ELECTORS_IN_CONSTITUENCY,OVER_TOTAL_VOTES_POLLED_IN_CONSTITUENCY,TOTAL_ELECTORS,LITERATE
GUJARAT,MAHESANA,A. J. Patel,0,INC,HAND,MALE,0,73,GENERAL,Graduate,698773712,96220673,376193,1813,378006,22.92516871,34.84963727,1648869,Literate
GUJARAT,MAHESANA,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,11979,88,12067,0.731834973,1.112497084,1648869,Not Available
UTTAR PRADESH,MAINPURI,MULAYAM SINGH YADAV,1,SP,BICYCLE,MALE,1,79,GENERAL,Post Graduate,205604593,22055657,523145,1781,524926,30.46164309,53.65909507,1723236,Literate
UTTAR PRADESH,MAINPURI,PREM SINGH SHAKYA,0,BJP,LOTUS,MALE,0,60,GENERAL,Not Available,26146972,0,428559,1978,430537,24.98421574,44.01044302,1723236,Not Available
KERALA,MALAPPURAM,P.K. Kunhalikutty,1,IUML,LADDER,MALE,2,67,GENERAL,Graduate,52932535,0,589153,720,589873,43.03933329,57.00363066,1370544,Literate
KERALA,MALAPPURAM,V.P. Sanu,0,CPI(M),"HAMMER, SICKLE AND STAR",MALE,9,30,GENERAL,Post Graduate,5438969,0,329103,617,329720,24.05760049,31.86319276,1370544,Literate
KERALA,MALAPPURAM,Unnikrishnan,0,BJP,LOTUS,MALE,0,54,GENERAL,Graduate,12100000,0,82087,245,82332,6.007249676,7.956327751,1370544,Literate
KERALA,MALAPPURAM,Abdul Majeed Faizy,0,SDPI,AUTO- RICKSHAW,MALE,2,48,GENERAL,10th Pass,1203908,0,19095,11,19106,1.394044992,1.846348904,1370544,Literate
WEST BENGAL,MALDAHA DAKSHIN,ABU HASEM KHAN CHOWDHURY (DALU),1,INC,HAND,MALE,0,72,GENERAL,Doctorate,270959520,728107,443540,730,444270,28.19705634,34.70921743,1575590,Literate
WEST BENGAL,MALDAHA DAKSHIN,SREERUPA MITRA CHAUDHURY,0,BJP,LOTUS,FEMALE,1,54,GENERAL,Post Graduate,10132939,2840000,434003,2045,436048,27.67522008,34.06686214,1575590,Literate
WEST BENGAL,MALDAHA DAKSHIN,MD. MOAZZEM HOSSAIN,0,AITC,FLOWERS AND GRASS,MALE,0,63,GENERAL,Graduate,13573609,0,350374,979,351353,22.29977342,27.44994637,1575590,Literate
WEST BENGAL,MALDAHA UTTAR,KHAGEN MURMU,1,BJP,LOTUS,MALE,4,59,ST,Graduate,10232439,1070914,507798,1726,509524,30.22168445,37.5930652,1685955,Literate
WEST BENGAL,MALDAHA UTTAR,MAUSAM NOOR,0,AITC,FLOWERS AND GRASS,FEMALE,2,39,GENERAL,Graduate,14786683,386896,424517,719,425236,25.22226275,31.37423296,1685955,Literate
WEST BENGAL,MALDAHA UTTAR,ISHA KHAN CHOUDHURY,0,INC,HAND,MALE,0,47,GENERAL,Graduate,8613504,354254,304964,306,305270,18.10665172,22.52305095,1685955,Literate
